<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
QIWI,D,20131008,000000,1340.0000000
QIWI,D,20131009,000000,1350.0000000
QIWI,D,20131010,000000,1310.0000000
QIWI,D,20131011,000000,1304.8000000
QIWI,D,20131014,000000,1310.0000000
QIWI,D,20131015,000000,1350.0000000
QIWI,D,20131016,000000,1304.4000000
QIWI,D,20131018,000000,1350.0000000
QIWI,D,20131021,000000,1363.5000000
QIWI,D,20131024,000000,1372.0000000
QIWI,D,20131025,000000,1920.0000000
QIWI,D,20131028,000000,1450.0000000
QIWI,D,20131029,000000,1450.0000000
QIWI,D,20131030,000000,1499.6000000
QIWI,D,20131031,000000,1400.0000000
QIWI,D,20131101,000000,1384.4000000
QIWI,D,20131105,000000,1450.0000000
QIWI,D,20131106,000000,1500.0000000
QIWI,D,20131107,000000,1455.9000000
QIWI,D,20131108,000000,1489.9000000
QIWI,D,20131111,000000,1435.0000000
QIWI,D,20131112,000000,1414.1000000
QIWI,D,20131113,000000,1367.7000000
QIWI,D,20131114,000000,1375.0000000
QIWI,D,20131115,000000,1377.0000000
QIWI,D,20131118,000000,1351.0000000
QIWI,D,20131119,000000,1400.0000000
QIWI,D,20131120,000000,1550.0000000
QIWI,D,20131121,000000,1550.0000000
QIWI,D,20131122,000000,1500.0000000
QIWI,D,20131125,000000,1505.0000000
QIWI,D,20131126,000000,1525.0000000
QIWI,D,20131127,000000,1581.0000000
QIWI,D,20131128,000000,1670.0000000
QIWI,D,20131129,000000,1790.0000000
QIWI,D,20131202,000000,1800.0000000
QIWI,D,20131203,000000,2000.0000000
QIWI,D,20131204,000000,1799.0000000
QIWI,D,20131205,000000,1649.9000000
QIWI,D,20131206,000000,1698.0000000
QIWI,D,20131209,000000,1634.0000000
QIWI,D,20131210,000000,1695.0000000
QIWI,D,20131211,000000,1710.0000000
QIWI,D,20131212,000000,1738.0000000
QIWI,D,20131213,000000,1640.0000000
QIWI,D,20131216,000000,1750.0000000
QIWI,D,20131217,000000,1738.6000000
QIWI,D,20131218,000000,1752.0000000
QIWI,D,20131219,000000,1702.0000000
QIWI,D,20131220,000000,1690.0000000
QIWI,D,20131223,000000,1750.0000000
QIWI,D,20131224,000000,1749.9000000
QIWI,D,20131225,000000,1690.1000000
QIWI,D,20131226,000000,1748.0000000
QIWI,D,20131227,000000,1790.0000000
QIWI,D,20131230,000000,1785.0000000
QIWI,D,20140106,000000,1796.0000000
QIWI,D,20140108,000000,1998.9000000
QIWI,D,20140109,000000,1903.2000000
QIWI,D,20140110,000000,1950.0000000
QIWI,D,20140113,000000,1799.8000000
QIWI,D,20140114,000000,1750.0000000
QIWI,D,20140115,000000,1630.0000000
QIWI,D,20140116,000000,1600.0000000
QIWI,D,20140117,000000,1570.0000000
QIWI,D,20140120,000000,1450.0000000
QIWI,D,20140121,000000,1425.0000000
QIWI,D,20140122,000000,1420.1000000
QIWI,D,20140123,000000,1424.0000000
QIWI,D,20140124,000000,1350.0000000
QIWI,D,20140127,000000,1294.4000000
QIWI,D,20140128,000000,1276.3000000
QIWI,D,20140129,000000,1290.6000000
QIWI,D,20140130,000000,1265.0000000
QIWI,D,20140131,000000,1269.9000000
QIWI,D,20140203,000000,1300.0000000
QIWI,D,20140204,000000,1223.0000000
QIWI,D,20140205,000000,1195.0000000
QIWI,D,20140206,000000,1270.0000000
QIWI,D,20140207,000000,1368.0000000
QIWI,D,20140210,000000,1380.0000000
QIWI,D,20140211,000000,1355.4000000
QIWI,D,20140212,000000,1355.0000000
QIWI,D,20140213,000000,1374.9000000
QIWI,D,20140214,000000,1360.0000000
QIWI,D,20140217,000000,1350.0000000
QIWI,D,20140218,000000,1430.0000000
QIWI,D,20140219,000000,1455.0000000
QIWI,D,20140220,000000,1454.9000000
QIWI,D,20140221,000000,1450.0000000
QIWI,D,20140224,000000,1439.0000000
QIWI,D,20140225,000000,1470.4000000
QIWI,D,20140226,000000,1530.0000000
QIWI,D,20140227,000000,1629.0000000
QIWI,D,20140228,000000,1730.0000000
QIWI,D,20140303,000000,1516.0000000
QIWI,D,20140304,000000,1530.0000000
QIWI,D,20140305,000000,1489.9000000
QIWI,D,20140306,000000,1470.0000000
QIWI,D,20140307,000000,1455.0000000
QIWI,D,20140311,000000,1460.9000000
QIWI,D,20140312,000000,1388.0000000
QIWI,D,20140313,000000,1250.0000000
QIWI,D,20140314,000000,1140.0000000
QIWI,D,20140317,000000,1309.9000000
QIWI,D,20140318,000000,1310.1000000
QIWI,D,20140319,000000,1313.1000000
QIWI,D,20140320,000000,1319.7000000
QIWI,D,20140321,000000,1280.0000000
QIWI,D,20140324,000000,1276.9000000
QIWI,D,20140325,000000,1217.9000000
QIWI,D,20140326,000000,1259.7000000
QIWI,D,20140327,000000,1151.3000000
QIWI,D,20140328,000000,1141.7000000
QIWI,D,20140331,000000,1210.0000000
QIWI,D,20140401,000000,1303.9000000
QIWI,D,20140402,000000,1307.6000000
QIWI,D,20140403,000000,1275.2000000
QIWI,D,20140404,000000,1275.0000000
QIWI,D,20140407,000000,1180.1000000
QIWI,D,20140408,000000,1158.0000000
QIWI,D,20140409,000000,1128.5000000
QIWI,D,20140410,000000,1155.8000000
QIWI,D,20140411,000000,1175.0000000
QIWI,D,20140414,000000,1121.0000000
QIWI,D,20140415,000000,1147.9000000
QIWI,D,20140416,000000,1158.6000000
QIWI,D,20140417,000000,1163.8000000
QIWI,D,20140418,000000,1181.0000000
QIWI,D,20140421,000000,1195.0000000
QIWI,D,20140422,000000,1172.9000000
QIWI,D,20140423,000000,1169.9000000
QIWI,D,20140424,000000,1040.0000000
QIWI,D,20140425,000000,1020.0000000
QIWI,D,20140428,000000,1043.9000000
QIWI,D,20140429,000000,1049.9000000
QIWI,D,20140430,000000,1039.6000000
QIWI,D,20140502,000000,1053.6000000
QIWI,D,20140505,000000,1040.1000000
QIWI,D,20140506,000000,1060.0000000
QIWI,D,20140507,000000,1071.0000000
QIWI,D,20140508,000000,1132.5000000
QIWI,D,20140512,000000,1101.8000000
QIWI,D,20140513,000000,1177.0000000
QIWI,D,20140514,000000,1155.0000000
QIWI,D,20140515,000000,1149.9000000
QIWI,D,20140516,000000,1175.0000000
QIWI,D,20140519,000000,1190.0000000
QIWI,D,20140520,000000,1219.7000000
QIWI,D,20140521,000000,1398.5000000
QIWI,D,20140522,000000,1501.1000000
QIWI,D,20140523,000000,1500.0000000
QIWI,D,20140526,000000,1475.1000000
QIWI,D,20140527,000000,1550.5000000
QIWI,D,20140528,000000,1536.2000000
QIWI,D,20140529,000000,1500.0000000
QIWI,D,20140530,000000,1525.2000000
QIWI,D,20140602,000000,1474.4000000
QIWI,D,20140603,000000,1510.0000000
QIWI,D,20140604,000000,1499.5000000
QIWI,D,20140605,000000,1508.3000000
QIWI,D,20140606,000000,1574.1000000
QIWI,D,20140609,000000,1600.0000000
QIWI,D,20140610,000000,1529.8000000
QIWI,D,20140611,000000,1530.0000000
QIWI,D,20140616,000000,1500.0000000
QIWI,D,20140617,000000,1444.9000000
QIWI,D,20140618,000000,1395.0000000
QIWI,D,20140619,000000,1380.0000000
QIWI,D,20140620,000000,1382.5000000
QIWI,D,20140623,000000,1345.0000000
QIWI,D,20140624,000000,1359.9000000
QIWI,D,20140625,000000,1380.0000000
QIWI,D,20140626,000000,1377.0000000
QIWI,D,20140627,000000,1386.6000000
QIWI,D,20140630,000000,1370.0000000
QIWI,D,20140701,000000,1375.2000000
QIWI,D,20140702,000000,1393.9000000
QIWI,D,20140703,000000,1375.0000000
QIWI,D,20140704,000000,1439.4000000
QIWI,D,20140707,000000,1430.0000000
QIWI,D,20140708,000000,1380.0000000
QIWI,D,20140709,000000,1364.6000000
QIWI,D,20140710,000000,1383.0000000
QIWI,D,20140711,000000,1404.4000000
QIWI,D,20140714,000000,1431.2000000
QIWI,D,20140715,000000,1510.0000000
QIWI,D,20140716,000000,1523.0000000
