"pricingdate","priceclose"
2012-02-09 00:00:00,12.800000
2012-02-10 00:00:00,12.610000
2012-02-13 00:00:00,12.840000
2012-02-14 00:00:00,12.920000
2012-02-15 00:00:00,13.000000
2012-02-16 00:00:00,12.890000
2012-02-17 00:00:00,12.920000
2012-02-20 00:00:00,13.160000
2012-02-21 00:00:00,13.060000
2012-02-22 00:00:00,12.910000
2012-02-23 00:00:00,12.900000
2012-02-24 00:00:00,13.650000
2012-02-27 00:00:00,13.710000
2012-02-28 00:00:00,13.680000
2012-02-29 00:00:00,13.720000
2012-03-01 00:00:00,13.780000
2012-03-02 00:00:00,13.990000
2012-03-05 00:00:00,13.880000
2012-03-06 00:00:00,13.140000
2012-03-07 00:00:00,13.140000
2012-03-08 00:00:00,13.450000
2012-03-09 00:00:00,13.610000
2012-03-12 00:00:00,13.480000
2012-03-13 00:00:00,13.710000
2012-03-14 00:00:00,13.960000
2012-03-15 00:00:00,13.650000
2012-03-16 00:00:00,13.830000
2012-03-19 00:00:00,13.640000
2012-03-20 00:00:00,13.260000
2012-03-21 00:00:00,13.470000
2012-03-22 00:00:00,13.030000
2012-03-23 00:00:00,13.440000
2012-03-26 00:00:00,13.850000
2012-03-27 00:00:00,13.580000
2012-03-28 00:00:00,13.080000
2012-03-29 00:00:00,12.720000
2012-03-30 00:00:00,12.840000
2012-04-02 00:00:00,12.980000
2012-04-03 00:00:00,13.400000
2012-04-04 00:00:00,13.050000
2012-04-05 00:00:00,13.150000
2012-04-10 00:00:00,12.670000
2012-04-11 00:00:00,12.770000
2012-04-12 00:00:00,12.820000
2012-04-13 00:00:00,12.720000
2012-04-16 00:00:00,12.480000
2012-04-17 00:00:00,12.660000
2012-04-18 00:00:00,12.630000
2012-04-19 00:00:00,12.840000
2012-04-20 00:00:00,12.990000
2012-04-23 00:00:00,12.550000
2012-04-24 00:00:00,12.690000
2012-04-25 00:00:00,12.820000
2012-04-26 00:00:00,12.760000
2012-04-27 00:00:00,12.860000
2012-04-30 00:00:00,12.950000
2012-05-01 00:00:00,13.000000
2012-05-02 00:00:00,12.720000
2012-05-03 00:00:00,12.640000
2012-05-04 00:00:00,12.280000
2012-05-08 00:00:00,11.910000
2012-05-09 00:00:00,11.840000
2012-05-10 00:00:00,12.300000
2012-05-11 00:00:00,12.130000
2012-05-14 00:00:00,11.590000
2012-05-15 00:00:00,11.610000
2012-05-16 00:00:00,11.280000
2012-05-17 00:00:00,10.370000
2012-05-18 00:00:00,10.080000
2012-05-21 00:00:00,10.540000
2012-05-22 00:00:00,10.690000
2012-05-23 00:00:00,10.000000
2012-05-24 00:00:00,10.330000
2012-05-25 00:00:00,10.120000
2012-05-28 00:00:00,10.090000
2012-05-29 00:00:00,10.500000
2012-05-30 00:00:00,10.130000
2012-05-31 00:00:00,9.835000
2012-06-01 00:00:00,9.440000
2012-06-06 00:00:00,9.970000
2012-06-07 00:00:00,10.420000
2012-06-08 00:00:00,9.995000
2012-06-11 00:00:00,10.260000
2012-06-12 00:00:00,10.250000
2012-06-13 00:00:00,10.280000
2012-06-14 00:00:00,10.250000
2012-06-15 00:00:00,10.380000
2012-06-18 00:00:00,10.640000
2012-06-19 00:00:00,10.790000
2012-06-20 00:00:00,10.630000
